"generation","offspring_size","selection_gradient","feedback"
1,4.99984,-0.1600038400819213,-0.003840256009830609
2,4.999679996159918,-0.16000768041986033,-0.0038405120454683534
3,4.999519988479498,-0.16001152101384283,-0.003840768106916313
4,4.999359976958484,-0.16001536186389467,-0.003841024194177574
5,4.99919996159662,-0.16001920297004163,-0.0038412803072552203
6,4.99903994239365,-0.16002304433230952,-0.003841536446152336
7,4.998879919349318,-0.16002688595072415,-0.003841792610872005
8,4.998719892463368,-0.16003072782531141,-0.0038420488014173164
9,4.998559861735543,-0.16003456995609708,-0.0038423050177913533
10,4.998399827165587,-0.16003841234310698,-0.003842561259997201
11,4.998239788753244,-0.16004225498636698,-0.0038428175280379477
12,4.998079746498258,-0.16004609788590288,-0.0038430738219166777
13,4.997919700400372,-0.16004994104174056,-0.0038433301416364797
14,4.99775965045933,-0.16005378445390575,-0.003843586487200438
15,4.997599596674877,-0.16005762812242447,-0.0038438428586116437
16,4.997439539046755,-0.16006147204732243,-0.0038440992558731817
17,4.997279477574708,-0.16006531622862552,-0.0038443556789881403
18,4.9971194122584786,-0.16006916066635968,-0.0038446121279596115
19,4.996959343097812,-0.1600730053605506,-0.0038448686027906785
20,4.996799270092452,-0.1600768503112243,-0.003845125103484432
21,4.996639193242141,-0.16008069551840653,-0.003845381630043963
22,4.996479112546623,-0.16008454098212324,-0.003845638182472359
23,4.99631902800564,-0.16008838670240025,-0.0038458947607727103
24,4.996158939618938,-0.1600922326792634,-0.0038461513649481072
25,4.995998847386258,-0.16009607891273867,-0.0038464079950016414
26,4.995838751307345,-0.16009992540285187,-0.003846664650936401
27,4.995678651381942,-0.16010377214962884,-0.0038469213327554774
28,4.995518547609793,-0.16010761915309557,-0.0038471780404619647
29,4.99535843999064,-0.16011146641327786,-0.0038474347740589505
30,4.995198328524227,-0.16011531393020165,-0.003847691533549528
31,4.995038213210297,-0.1601191617038928,-0.0038479483189367905
32,4.994878094048593,-0.1601230097343772,-0.00384820513022383
33,4.994717971038859,-0.16012685802168083,-0.00384846196741374
34,4.994557844180837,-0.16013070656582953,-0.0038487188305096126
35,4.994397713474271,-0.16013455536684923,-0.003848975719514542
36,4.994237578918904,-0.16013840442476582,-0.003849232634431621
37,4.994077440514479,-0.16014225373960522,-0.0038494895752639456
38,4.993917298260739,-0.16014610331139334,-0.0038497465420146058
39,4.9937571521574275,-0.1601499531401561,-0.0038500035346867
40,4.993597002204288,-0.16015380322591946,-0.0038502605532833227
41,4.993436848401061,-0.16015765356870929,-0.0038505175978075677
42,4.993276690747493,-0.16016150416855154,-0.0038507746682625316
43,4.993116529243324,-0.16016535502547216,-0.003851031764651309
44,4.9929563638882986,-0.16016920613949703,-0.0038512888869769966
45,4.992796194682159,-0.16017305751065214,-0.003851546035242691
46,4.992636021624648,-0.16017690913896346,-0.0038518032094514904
47,4.992475844715509,-0.16018076102445689,-0.0038520604096064894
48,4.992315663954485,-0.1601846131671583,-0.0038523176357107836
49,4.992155479341317,-0.16018846556709376,-0.003852574887767476
50,4.99199529087575,-0.1601923182242892,-0.0038528321657796604
51,4.991835098557526,-0.16019617113877052,-0.0038530894697504365
52,4.991674902386387,-0.16020002431056377,-0.0038533467996829033
53,4.9915147023620765,-0.16020387773969483,-0.0038536041555801578
54,4.991354498484337,-0.1602077314261897,-0.0038538615374452993
55,4.991194290752911,-0.16021158537007432,-0.0038541189452814283
56,4.991034079167541,-0.16021543957137468,-0.003854376379091644
57,4.99087386372797,-0.1602192940301168,-0.0038546338388790475
58,4.9907136444339395,-0.1602231487463266,-0.0038548913246467375
59,4.990553421285193,-0.1602270037200301,-0.0038551488363978165
60,4.990393194281473,-0.16023085895125322,-0.003855406374135382
61,4.990232963422521,-0.16023471444002205,-0.0038556639378625403
62,4.990072728708081,-0.1602385701863625,-0.003855921527582388
63,4.989912490137895,-0.16024242619030055,-0.003856179143298027
64,4.989752247711705,-0.16024628245186226,-0.003856436785012563
65,4.989592001429253,-0.1602501389710736,-0.0038566944527290963
66,4.989431751290282,-0.16025399574796056,-0.003856952146450729
67,4.989271497294534,-0.1602578527825492,-0.0038572098661805664
68,4.989111239441751,-0.16026171007486545,-0.00385746761192171
69,4.988950977731676,-0.16026556762493538,-0.0038577253836772634
70,4.988790712164051,-0.16026942543278497,-0.0038579831814503306
71,4.988630442738619,-0.16027328349844028,-0.003858241005244015
72,4.988470169455121,-0.1602771418219273,-0.0038584988550614224
